user_id,subscription_type,country,avg_daily_minutes,number_of_playlists,top_genre,skips_per_day,support_tickets,days_since_last_login,churned
user_1,Premium,US,134.9,4,Electronic,6,0,1,0
user_2,Premium,PK,165.7,5,Pop,8,0,12,0
user_3,Free,DE,45.9,3,Classical,3,0,3,0
user_4,Premium,PK,106.0,0,Jazz,7,0,3,0
user_5,Premium,US,89.6,5,Country,2,1,6,0
user_6,Free,IN,17.6,0,Rock,6,2,7,1
user_7,Free,UK,43.7,2,Hip-Hop,1,1,0,0
user_8,Premium,BR,131.3,3,Classical,7,0,1,0
user_9,Free,FR,41.9,5,Country,4,0,0,0
user_10,Free,DE,28.3,1,Electronic,6,0,10,0
user_11,Premium,UK,126.3,1,Country,1,0,34,1
user_12,Free,CA,65.9,2,Rock,7,0,25,1
user_13,Free,UK,56.5,1,Classical,0,0,17,1
user_14,Free,BR,38.4,0,Jazz,2,0,7,0
user_15,Premium,DE,129.7,4,Electronic,2,0,0,0
user_16,Free,US,78.4,3,Country,7,0,13,0
user_17,Free,RU,34.8,1,Electronic,5,0,4,0
user_18,Free,BR,89.3,1,Rock,3,0,3,0
user_19,Premium,FR,144.4,7,Electronic,4,0,1,0
user_20,Free,DE,90.1,3,Rock,7,0,8,1
user_21,Free,UK,58.9,5,Rock,0,0,0,0
user_22,Premium,UK,144.7,2,Jazz,8,0,7,0
user_23,Premium,PK,113.4,5,Country,9,1,2,0
user_24,Free,PK,44.5,1,Country,3,0,1,0
user_25,Free,AU,87.5,2,Rock,3,0,22,0
user_26,Premium,FR,135.4,7,Classical,5,0,22,0
user_27,Free,FR,38.9,1,Country,3,0,17,0
user_28,Free,IN,16.1,0,Classical,6,2,2,0
user_29,Premium,RU,109.7,3,Hip-Hop,4,0,7,0
user_30,Free,FR,72.1,0,Rock,9,0,35,0
user_31,Premium,UK,62.4,4,Electronic,5,0,0,0
user_32,Premium,IN,193.9,5,Rock,4,0,2,0
user_33,Free,PK,59.0,0,Country,8,0,2,0
user_34,Premium,DE,142.6,3,Electronic,9,0,10,0
user_35,Premium,BR,137.6,9,Classical,2,0,0,0
user_36,Free,US,43.0,5,Classical,7,0,0,0
user_37,Free,US,13.5,2,Rock,1,0,11,1
user_38,Free,PK,74.2,3,Rock,4,0,1,0
user_39,Premium,RU,96.5,4,Classical,7,0,16,0
user_40,Premium,DE,83.1,7,Pop,12,0,2,0
user_41,Premium,BR,127.8,6,Country,1,0,12,0
user_42,Premium,UK,80.4,6,Pop,8,0,0,0
user_43,Premium,DE,128.8,3,Rock,10,0,10,0
user_44,Premium,FR,134.2,6,Jazz,2,0,2,0
user_45,Premium,PK,154.8,3,Pop,7,0,10,0
user_46,Premium,UK,132.4,3,Country,5,1,4,1
user_47,Premium,DE,93.3,3,Country,4,0,22,1
user_48,Free,AU,70.2,4,Hip-Hop,6,1,6,0
user_49,Free,PK,52.1,7,Electronic,6,0,3,1
user_50,Free,US,34.3,2,Classical,4,0,1,1
user_51,Free,US,53.3,3,Classical,6,0,33,0
user_52,Premium,US,117.8,4,Classical,7,0,4,0
user_53,Premium,DE,106.6,6,Jazz,5,0,27,0
user_54,Free,RU,22.6,3,Pop,10,0,1,0
user_55,Premium,PK,121.7,2,Hip-Hop,6,1,11,0
user_56,Premium,DE,136.8,3,Hip-Hop,9,0,3,0
user_57,Free,CA,75.5,3,Country,6,1,16,1
user_58,Premium,RU,235.6,7,Pop,7,0,15,0
user_59,Free,CA,50.5,3,Pop,2,1,8,1
user_60,Free,PK,52.9,1,Electronic,3,0,7,0
user_61,Premium,PK,140.6,1,Pop,3,0,1,0
user_62,Premium,UK,152.7,8,Rock,5,0,2,0
user_63,Premium,IN,98.1,5,Hip-Hop,5,0,7,0
user_64,Free,FR,40.5,4,Classical,7,0,37,0
user_65,Premium,UK,59.2,5,Electronic,3,0,5,0
user_66,Free,IN,85.6,0,Electronic,9,2,1,1
user_67,Premium,AU,105.8,3,Classical,10,0,10,0
